"time","heatCapacitor.T","filter.y","idealPump.V_flow","idealPump.w","pipe.Q_flow","pipe.volumeFlow","pipe.V_flow","prescribedHeatFlow.Q_flow","speed.w"
0,293.15,0,0,-0,0,0,0,0,-0
0,293.15,0,0,-0,0,0,0,0,-0
0,293.15,0,0,-0,0,0,0,0,-0
1.938885496919614e-010,293.15,-8.085370004153761e-028,0,-0,0,0,0,-8.085370004153761e-028,-0
1.938885496919614e-010,293.15,-8.085370004153761e-028,0,-0,0,0,0,-8.085370004153761e-028,-0
5,293.1499999999999,-1.19328290791921e-013,0,-0,5.684341886080802e-014,0,0,-1.19328290791921e-013,-0
10,293.1499999999977,-5.238239583313639e-013,0,-0,-5.684341886080802e-014,0,0,-5.238239583313639e-013,-0
15,293.1499999999912,-1.172038613367225e-012,0,-0,-1.13686837721616e-013,0,0,-1.172038613367225e-012,-0
20,293.1499999999798,-2.008828248047547e-012,0,-0,-1.70530256582424e-013,0,0,-2.008828248047547e-012,-0
25,293.1499999999593,-3.012518183823922e-012,0,-0,-2.273736754432321e-013,0,0,-3.012518183823922e-012,-0
30,293.1499999999264,-4.241673825491932e-012,0,-0,-3.979039320256561e-013,0,0,-4.241673825491932e-012,-0
30,293.1499999999264,-4.241673825491932e-012,0,-0,-3.979039320256561e-013,0,0,-4.241673825491932e-012,-0
35,293.1506905868477,0.0005948603039775325,0,-0,5.12582777218995e-005,0,0,0.0005948603039775325,-0
40,293.1607360361192,0.004639457837184583,0,-0,0.0004106480359382658,0,0,0.004639457837184583,-0
45,293.2030608349865,0.01528534372850957,0,-0,0.001365202139822941,0,0,0.01528534372850957,-0
50,293.314309405183,0.03537368057580727,0,-0,0.003173699373633099,0,0,0.03537368057580727,-0
55,293.5432959121793,0.06745693997073858,0,-0,0.00606863935581714,0,0,0.06745693997073858,-0
60,293.9498917852251,0.113824611684745,0,-0,0.01025857996410196,0,0,0.113824611684745,-0
60,293.9498917852251,0.113824611684745,0,-0,0.01025857996410196,0,0,0.113824611684745,-0
65,294.6049686816848,0.1775639726145103,0,-0,0.01601961609844693,0,0,0.1775639726145103,-0
70,295.602156198254,0.265515146609851,0,-0,0.02396926269278765,0,0,0.265515146609851,-0
75,297.0680643657025,0.3848176835820676,0,-0,0.03475783216748596,0,0,0.3848176835820676,-0
80,299.1600680433506,0.5418743618975662,0,-0,0.04896856923329551,0,0,0.5418743618975662,-0
85,302.0631022628394,0.7424068608454905,0,-0,0.06712271407423032,0,0,0.7424068608454905,-0
90,305.986600181189,0.9915051306126441,0,-0,0.08968399592356491,0,0,0.9915051306126441,-0
90,305.986600181189,0.9915051306126441,0,-0,0.08968399592356491,0,0,0.9915051306126441,-0
95,311.1615949792955,1.293476119498747,0,-0,0.1170458257444125,0,0,1.293476119498747,-0
97.51454649247143,314.31467362286,1.466299391643015,0,-0,0.1327100599259552,0,0,1.466299391643015,-0
97.51454649247143,314.31467362286,1.466299391643015,0,-0,0.1327100599259552,0,0,1.466299391643015,-0
100,317.8355779384704,1.651151535444411,0,-0,0.1494690337382849,0,0,1.651151535444411,-0
103.2668655416471,323.1267410924486,1.914309362902743,1.000000425746662e-010,7.071094317197268e-006,0.1733361606302992,1.000000425746662e-010,1.000000425746662e-010,1.914309362902743,7.071094317197268e-006
103.2668655416471,323.1267410924486,1.914309362902743,1.000000425746662e-010,7.071094317197268e-006,0.1733361606302992,1.000000425746662e-010,1.000000425746662e-010,1.914309362902743,7.071094317197268e-006
103.4040366358687,323.3327075870529,1.925838265808559,0.1000000001111199,0.2511083812480703,1.135560297129757,0.1000000001111199,0.1000000001111199,1.925838265808559,0.2511083812480703
103.4040366358687,323.3327075870529,1.925838265808559,0.1000000001111199,0.2511083812480703,1.135560297129757,0.1000000001111199,0.1000000001111199,1.925838265808559,0.2511083812480703
103.644509256457,322.8841878361383,1.946139995767823,0.09999999988931835,0.2511083809363461,3.94972639498377,0.09999999988931835,0.09999999988931835,1.946139995767823,0.2511083809363461
103.644509256457,322.8841878361383,1.946139995767823,0.09999999988931835,0.2511083809363461,3.94972639498377,0.09999999988931835,0.09999999988931835,1.946139995767823,0.2511083809363461
105,323.0123618811667,2.062704862239409,0.07504305880773747,0.2140939895507326,2.053192677858988,0.07504305880773747,0.07504305880773747,2.062704862239409,0.2140939895507326
110,323.0008863202858,2.522351063805907,0.09264764379514499,0.240623345027134,2.522298000745877,0.09264764379514499,0.09264764379514499,2.522351063805907,0.240623345027134
111.8625527558347,323.0011425130948,2.704738029222095,0.1000000001100806,0.2511083812466097,2.704736574094056,0.1000000001100806,0.1000000001100806,2.704738029222095,0.2511083812466097
111.8625527558347,323.0011425130948,2.704738029222095,0.1000000001100806,0.2511083812466097,2.704736574094056,0.1000000001100806,0.1000000001100806,2.704738029222095,0.2511083812466097
115,323.0011614827749,3.024556834438813,0.1131332521678777,0.2691287583339096,3.024548102557333,0.1131332521678777,0.1131332521678777,3.024556834438813,0.2691287583339096
120,323.0012120046522,3.56421919055483,0.1360422919588662,0.2987807380661333,3.564123710110266,0.1360422919588662,0.1360422919588662,3.56421919055483,0.2987807380661333
120,323.0012120046522,3.56421919055483,0.1360422919588662,0.2987807380661333,3.564123710110266,0.1360422919588662,0.1360422919588662,3.56421919055483,0.2987807380661333
125,323.0012491782361,4.136605974762445,0.1613221574007054,0.329447942887303,4.136596970412768,0.1613221574007054,0.1613221574007054,4.136605974762445,0.329447942887303
130,323.0012945694082,4.737385261504684,0.1891244609345761,0.3612654100816743,4.737375584126482,0.1891244609345761,0.1891244609345761,4.737385261504684,0.3612654100816743
135,323.0013419738249,5.36252770409387,0.2194976918302162,0.3942400223426011,5.362517717936271,0.2194976918302162,0.2194976918302162,5.36252770409387,0.3942400223426011
140,323.0013926945234,6.008337809102827,0.2525449553547481,0.4284410568411688,6.008327043335157,0.2525449553547481,0.2525449553547481,6.008337809102827,0.4284410568411688
145,323.0014466465404,6.671415722324967,0.2883865791883487,0.4639506440595288,6.671404487770303,0.2883865791883487,0.2883865791883487,6.671415722324967,0.4639506440595288
150,323.001503767898,7.348645905072907,0.3271665109947877,0.5008680195473765,7.348641506081549,0.3271665109947877,0.3271665109947877,7.348645905072907,0.5008680195473765
150,323.001503767898,7.348645905072907,0.3271665109947877,0.5008680195473765,7.348641506081549,0.3271665109947877,0.3271665109947877,7.348645905072907,0.5008680195473765
155,323.0015688331522,8.037155176317084,0.3690679385886053,0.5393214812299308,8.037142005797648,0.3690679385886053,0.3690679385886053,8.037155176317084,0.5393214812299308
160,323.0016380961834,8.734344166202249,0.4142747328159591,0.5794310753522606,8.734328923357339,0.4142747328159591,0.4142747328159591,8.734344166202249,0.5794310753522606
165,323.0017132803627,9.437809411383311,0.4630129508871158,0.6213462925802217,9.437793561124238,0.4630129508871158,0.4630129508871158,9.437809411383311,0.6213462925802217
170,323.0017956612612,10.14535919196903,0.5155425677635331,0.6652362730946939,10.14534203982413,0.5155425677635331,0.5155425677635331,10.14535919196903,0.6652362730946939
175,323.0018859483333,10.85499904156088,0.5721554078968266,0.7112869559409436,10.85497999843608,0.5721554078968266,0.5721554078968266,10.85499904156088,0.7112869559409436
180,323.0019849133591,11.5649132099509,0.6331824153782351,0.759706199397083,11.56489267567036,0.6331824153782351,0.6331824153782351,11.5649132099509,0.759706199397083
180,323.0019849133591,11.5649132099509,0.6331824153782351,0.759706199397083,11.56489267567036,0.6331824153782351,0.6331824153782351,11.5649132099509,0.759706199397083
185,323.0020796579829,12.27173237590448,0.6988343016610272,0.8106006308877598,12.27171546631143,0.6988343016610272,0.6988343016610272,12.27173237590448,0.8106006308877598
190,323.0021524765934,12.96599933213072,0.7686510626980238,0.8635741765620683,12.96599070008392,0.7686510626980238,0.7686510626980238,12.96599933213072,0.8635741765620683
195,323.0021986141839,13.63739000024009,0.8418557828416052,0.9180365722442335,13.63738278170189,0.8418557828416052,0.8418557828416052,13.63739000024009,0.9180365722442335
200,323.0022106526441,14.27667016791232,0.9174024671177163,0.9732486630933351,14.27667122661205,0.9174024671177163,0.9174024671177163,14.27667016791232,0.9732486630933351
205,323.0021901588194,14.8755407366874,0.9940196436122915,1.028356348770213,14.87554903206456,0.9940196436122915,0.9940196436122915,14.8755407366874,1.028356348770213
210,323.002123055443,15.42655359613705,1.070116072522828,1.082321772293984,15.4265772021767,1.070116072522828,1.070116072522828,15.42655359613705,1.082321772293984
210,323.002123055443,15.42655359613705,1.070116072522828,1.082321772293984,15.4265772021767,1.070116072522828,1.070116072522828,15.42655359613705,1.082321772293984
215,323.0020401161461,15.92591519416002,1.144285764078655,1.134274981981412,15.92592995575194,1.144285764078655,1.144285764078655,15.92591519416002,1.134274981981412
220,323.0019810908657,16.38127184817136,1.216716015611816,1.184464620821472,16.38128121460994,1.216716015611816,1.216716015611816,16.38127184817136,1.184464620821472
225,323.0019496055571,16.80238211043043,1.288206865629609,1.23353105643027,16.80238543093014,1.288206865629609,1.288206865629609,16.80238211043043,1.23353105643027
230,323.0019494588847,17.19819511829123,1.35974850360793,1.282209539285536,17.19819173405205,1.35974850360793,1.35974850360793,17.19819511829123,1.282209539285536
235,323.0019844680698,17.57687305681723,1.432518929302797,1.331331609619212,17.57686246865052,1.432518929302797,1.432518929302797,17.57687305681723,1.331331609619212
240,323.0020577905628,17.9458360964564,1.507873926752368,1.381819907776242,17.94581701985817,1.507873926752368,1.507873926752368,17.9458360964564,1.381819907776242
240,323.0020577905628,17.9458360964564,1.507873926752368,1.381819907776242,17.94581701985817,1.507873926752368,1.507873926752368,17.9458360964564,1.381819907776242
245,323.0021474244488,18.31013430861614,1.587012978048605,1.434467143272284,18.31011813362926,1.587012978048605,1.587012978048605,18.31013430861614,1.434467143272284
250,323.0022203830124,18.66786835334353,1.669735463556784,1.489123928399132,18.66785530240497,1.669735463556784,1.669735463556784,18.66786835334353,1.489123928399132
255,323.0022745968182,19.01581732435284,1.755428501923351,1.545377025353959,19.01580883668106,1.755428501923351,1.755428501923351,19.01581732435284,1.545377025353959
260,323.0023075268734,19.35090938382175,1.843319036912582,1.602720664279402,19.35090835153153,1.843319036912582,1.843319036912582,19.35090938382175,1.602720664279402
265,323.0023170267352,19.67048205663745,1.93252999286809,1.660594011785174,19.67048538874866,1.93252999286809,1.93252999286809,19.67048205663745,1.660594011785174
270,323.0022991414128,19.97214248753579,2.022035726204444,1.718352106443284,19.97214061958846,2.022035726204444,2.022035726204444,19.97214248753579,1.718352106443284
270,323.0022991414128,19.97214248753579,2.022035726204444,1.718352106443284,19.97214061958846,2.022035726204444,2.022035726204444,19.97214248753579,1.718352106443284
275,323.0022707413082,20.25460178683258,2.110938084950859,1.775442719217607,20.25460648496983,2.110938084950859,2.110938084950859,20.25460178683258,1.775442719217607
280,323.0022533827531,20.51989217852148,2.199340510616194,1.831959870802045,20.51989544216974,2.199340510616194,2.199340510616194,20.51989217852148,1.831959870802045
285,323.0022449587537,20.77074375499738,2.287698667378565,1.88821696640083,20.77076085313109,2.287698667378565,2.287698667378565,20.77074375499738,1.88821696640083
290,323.0022591553187,21.00961964885524,2.376466302902467,1.944519205108688,21.00961067381672,2.376466302902467,2.376466302902467,21.00961964885524,1.944519205108688
295,323.0022843662772,21.23880738377156,2.466284797923734,2.001284338804277,21.23879990551706,2.466284797923734,2.466284797923734,21.23880738377156,2.001284338804277
300,323.0023270226621,21.4603970874679,2.557780377302904,2.058914093717569,21.46038673947129,2.557780377302904,2.557780377302904,21.4603970874679,2.058914093717569
300,323.0023270226621,21.4603970874679,2.557780377302904,2.058914093717569,21.46038673947129,2.557780377302904,2.557780377302904,21.4603970874679,2.058914093717569
305,323.0023459241034,21.67488889739889,2.651079657548167,2.117491522023354,21.67489355117306,2.651079657548167,2.651079657548167,21.67488889739889,2.117491522023354
310,323.0022794224518,21.87723143641948,2.74375395128029,2.175501468016393,21.87727112295522,2.74375395128029,2.74375395128029,21.87723143641948,2.175501468016393
315,323.00213507151,22.06151473191951,2.832270854065339,2.230757183991625,22.06155589360225,2.832270854065339,2.832270854065339,22.06151473191951,2.230757183991625
320,323.0018904976646,22.22242478092417,2.913129155735805,2.281110593719344,22.22248094612837,2.913129155735805,2.913129155735805,22.22242478092417,2.281110593719344
325,323.001556789924,22.3551970287857,2.982502582770017,2.32422470109285,22.35527036152058,2.982502582770017,2.982502582770017,22.3551970287857,2.32422470109285
330,323.0011349506225,22.45557398763307,3.036667309448358,2.357833566837461,22.45570017963189,3.036667309448358,3.036667309448358,22.45557398763307,2.357833566837461
330,323.0011349506225,22.45557398763307,3.036667309448358,2.357833566837461,22.45570017963189,3.036667309448358,3.036667309448358,22.45557398763307,2.357833566837461
335,323.0006310753653,22.51968735437455,3.072051049626189,2.379764607638281,22.51979490842166,3.072051049626189,3.072051049626189,22.51968735437455,2.379764607638281
340,323.0000599504356,22.54393197197396,3.0856869409112,2.388211195517223,22.54405504584656,3.0856869409112,3.0856869409112,22.54393197197396,2.388211195517223
345,322.9994428739733,22.52500211722569,3.075318230061938,2.381788674898188,22.52512183809347,3.075318230061938,3.075318230061938,22.52500211722569,2.381788674898188
347.5706488172486,322.9991191600502,22.49751286718283,3.060157234104657,2.372394862072011,22.49763617527913,3.060157234104657,3.060157234104657,22.49751286718283,2.372394862072011
347.5706488172486,322.9991191600502,22.49751286718283,3.060157234104657,2.372394862072011,22.49763617527913,3.060157234104657,3.060157234104657,22.49751286718283,2.372394862072011
350,322.9988203135295,22.46016673195554,3.039646172135037,2.359680614460078,22.46028446545938,3.039646172135037,3.039646172135037,22.46016673195554,2.359680614460078
355,322.9982840154972,22.35034105410302,2.980505501847458,2.322984644971459,22.35045920271847,2.980505501847458,2.980505501847458,22.35034105410302,2.322984644971459
360,322.9978558278672,22.1998181849592,2.902278581043762,2.27436002770307,22.19989385964516,2.902278581043762,2.902278581043762,22.1998181849592,2.27436002770307
360,322.9978558278672,22.1998181849592,2.902278581043762,2.27436002770307,22.19989385964516,2.902278581043762,2.902278581043762,22.1998181849592,2.27436002770307
365,322.9975286080392,22.01277070371602,2.809136833290469,2.21632978666959,22.01282626753215,2.809136833290469,2.809136833290469,22.01277070371602,2.21632978666959
370,322.9972966127681,21.7929828537828,2.705190521605685,2.151382893563752,21.79302227535231,2.705190521605685,2.705190521605685,21.7929828537828,2.151382893563752
375,322.9971465633518,21.54399674030302,2.594054894884581,2.081710687568295,21.54402045527496,2.594054894884581,2.594054894884581,21.54399674030302,2.081710687568295
380,322.997065701494,21.26912401667793,2.478848235985235,2.009208940212822,21.26913454494536,2.478848235985235,2.478848235985235,21.26912401667793,2.009208940212822
385,322.9970398921974,20.97140322110401,2.362111554620282,1.935428447957909,20.9714040679346,2.362111554620282,2.362111554620282,20.97140322110401,1.935428447957909
390,322.9970573753723,20.65364214307337,2.245854265795191,1.861602612284482,20.65363789192355,2.245854265795191,2.245854265795191,20.65364214307337,1.861602612284482
390,322.9970573753723,20.65364214307337,2.245854265795191,1.861602612284482,20.65363789192355,2.245854265795191,2.245854265795191,20.65364214307337,1.861602612284482
395,322.9971111136704,20.31849253411651,2.131640650852812,1.78870001781151,20.31847920817364,2.131640650852812,2.131640650852812,20.31849253411651,1.78870001781151
400,322.9971892656292,19.96851235894494,2.020644248763898,1.71745639837725,19.96849562538898,2.020644248763898,2.020644248763898,19.96851235894494,1.71745639837725
405,322.997289393628,19.6061408016903,1.913761802025538,1.648444885300596,19.60608770748814,1.913761802025538,1.913761802025538,19.6061408016903,1.648444885300596
410,322.9973949824401,19.23360984368459,1.81143029470083,1.581954166094743,19.2335702219558,1.81143029470083,1.81143029470083,19.23360984368459,1.581954166094743
415,322.9975058788718,18.85296243292806,1.714038368845491,1.518250860372594,18.85296072161776,1.714038368845491,1.714038368845491,18.85296243292806,1.518250860372594
